date,geoid,county,state,cases,cases_avg,cases_avg_per_100k,deaths,deaths_avg,deaths_avg_per_100k
2020-03-10,USA-26163,Wayne,Michigan,1,0.14,0.01,0,0,0
2020-03-10,USA-26125,Oakland,Michigan,1,0.14,0.01,0,0,0
2020-03-11,USA-26163,Wayne,Michigan,0,0.14,0.01,0,0,0
2020-03-11,USA-26125,Oakland,Michigan,0,0.14,0.01,0,0,0
2020-03-12,USA-26163,Wayne,Michigan,0,0.14,0.01,0,0,0
2020-03-12,USA-26161,Washtenaw,Michigan,2,0.29,0.08,0,0,0
2020-03-12,USA-26147,St. Clair,Michigan,1,0.14,0.09,0,0,0
2020-03-12,USA-26125,Oakland,Michigan,2,0.43,0.03,0,0,0
2020-03-12,USA-26117,Montcalm,Michigan,1,0.14,0.22,0,0,0
2020-03-12,USA-26081,Kent,Michigan,3,0.43,0.07,0,0,0
2020-03-12,USA-26065,Ingham,Michigan,1,0.14,0.05,0,0,0
2020-03-13,USA-26163,Wayne,Michigan,5,0.86,0.05,0,0,0
2020-03-13,USA-26161,Washtenaw,Michigan,1,0.43,0.12,0,0,0
2020-03-13,USA-26147,St. Clair,Michigan,0,0.14,0.09,0,0,0
2020-03-13,USA-26125,Oakland,Michigan,3,0.86,0.07,0,0,0
2020-03-13,USA-26117,Montcalm,Michigan,0,0.14,0.22,0,0,0
2020-03-13,USA-26099,Macomb,Michigan,1,0.14,0.02,0,0,0
2020-03-13,USA-26089,Leelanau,Michigan,1,0.14,0.66,0,0,0
2020-03-13,USA-26081,Kent,Michigan,0,0.43,0.07,0,0,0
2020-03-13,USA-26065,Ingham,Michigan,0,0.14,0.05,0,0,0
2020-03-13,USA-26029,Charlevoix,Michigan,1,0.14,0.55,0,0,0
2020-03-13,USA-26017,Bay,Michigan,1,0.14,0.14,0,0,0
2020-03-14,USA-26163,Wayne,Michigan,2,1.14,0.07,0,0,0
2020-03-14,USA-26161,Washtenaw,Michigan,1,0.57,0.16,0,0,0
2020-03-14,USA-26147,St. Clair,Michigan,0,0.14,0.09,0,0,0
2020-03-14,USA-26125,Oakland,Michigan,3,1.29,0.1,0,0,0
2020-03-14,USA-26117,Montcalm,Michigan,0,0.14,0.22,0,0,0
2020-03-14,USA-26115,Monroe,Michigan,1,0.14,0.09,0,0,0
2020-03-14,USA-26099,Macomb,Michigan,1,0.29,0.03,0,0,0
2020-03-14,USA-26089,Leelanau,Michigan,0,0.14,0.66,0,0,0
2020-03-14,USA-26081,Kent,Michigan,0,0.43,0.07,0,0,0
2020-03-14,USA-26065,Ingham,Michigan,0,0.14,0.05,0,0,0
2020-03-14,USA-26029,Charlevoix,Michigan,0,0.14,0.55,0,0,0
2020-03-14,USA-26017,Bay,Michigan,0,0.14,0.14,0,0,0
